repository_name,repository_url,commit_id,parent_commit_id,commit_url
real-logic/aeron,https://github.com/real-logic/aeron,adce8358ef3ea6cc400bed407d7f5d2fa97c08c0,11891d117043fb21941222c67d08609852c90c2e,https://github.com/real-logic/aeron/commit/adce8358ef3ea6cc400bed407d7f5d2fa97c08c0
CalebFenton/simplify,https://github.com/CalebFenton/simplify,b2c115b8ff2cc532911efa887ac18e3bee2ec330,5ff375118c7a611058d6ca372b1b8163f487f636,https://github.com/CalebFenton/simplify/commit/b2c115b8ff2cc532911efa887ac18e3bee2ec330
Activiti/Activiti,https://github.com/Activiti/Activiti,1e2f72ff8969693ca469d50b97200b4386246a2f,3c4ccc4d1e4bd7b53369492b367501d3a436b4dc,https://github.com/Activiti/Activiti/commit/1e2f72ff8969693ca469d50b97200b4386246a2f
JanusGraph/janusgraph,https://github.com/JanusGraph/janusgraph,6fb14145afdc8a6c6156c93d930d2f13de4c4830,8f0611147b3214812abc6d58b8bd6df418b24004,https://github.com/JanusGraph/janusgraph/commit/6fb14145afdc8a6c6156c93d930d2f13de4c4830
apache/Cxf,https://github.com/apache/Cxf,64eee11a907d724373f80e38db24b7474ede7164,d88cd9e42b798854d422fd3606cafdfc338ec83f,https://github.com/apache/Cxf/commit/64eee11a907d724373f80e38db24b7474ede7164
spring-projects/spring-security,https://github.com/spring-projects/spring-security,44fa624b6ba5af1d0685f6dffafe38d268a9b80a,b6800bdb4dbb63c29e7fbad2b322499facf01292,https://github.com/spring-projects/spring-security/commit/44fa624b6ba5af1d0685f6dffafe38d268a9b80a
cloudfoundry/uaa,https://github.com/cloudfoundry/uaa,7697b48360640670792bd5673c215d388faf744c,f13a4859d4e49c235a72d12beeb4b79833578f2c,https://github.com/cloudfoundry/uaa/commit/7697b48360640670792bd5673c215d388faf744c
apache/hive,https://github.com/apache/hive,6cd53ed2bbbe8ff1f5e52fcfd15e2d55b7ee393f,00a121e3c74fc1f46568d9fb4ffefc6931a53784,https://github.com/apache/hive/commit/6cd53ed2bbbe8ff1f5e52fcfd15e2d55b7ee393f
INRIA/spoon,https://github.com/INRIA/spoon,f23124e6aa48cd0336744596ed0564be82645c87,8a2c702521dd9591f7e226a961e1fb9831e4f963,https://github.com/INRIA/spoon/commit/f23124e6aa48cd0336744596ed0564be82645c87
Graylog2/graylog2-server,https://github.com/Graylog2/graylog2-server,365d26fff714cf37b360d09a337b3138437f663a,ec7b2e48123e50118259c4ca56146335ee7eb76b,https://github.com/Graylog2/graylog2-server/commit/365d26fff714cf37b360d09a337b3138437f663a
Activiti/Activiti,https://github.com/Activiti/Activiti,b04cb858ad2d6ca211362176212698eca5f85fef,23eeecb6c88e7392eb598ad0e10e388d567dc662,https://github.com/Activiti/Activiti/commit/b04cb858ad2d6ca211362176212698eca5f85fef
Graylog2/graylog2-server,https://github.com/Graylog2/graylog2-server,f44ff5468729cf9d8971558ca42a909d11e91e08,2b79e3c764bb74208bdc07c3d3920076898a0945,https://github.com/Graylog2/graylog2-server/commit/f44ff5468729cf9d8971558ca42a909d11e91e08
vespa-engine/vespa,https://github.com/vespa-engine/vespa,cea387edfcfe7b700a8eb927ddf618cb2dfb8269,2eb5586c577d0e5868f41deaff21e140f461b1a7,https://github.com/vespa-engine/vespa/commit/cea387edfcfe7b700a8eb927ddf618cb2dfb8269
mockito/mockito,https://github.com/mockito/mockito,5b6691b394de49ecf333036326ee88d84f73ef54,5f5a5a1494c478edaac1db85c2c815cf55a20775,https://github.com/mockito/mockito/commit/5b6691b394de49ecf333036326ee88d84f73ef54
cloudfoundry/uaa,https://github.com/cloudfoundry/uaa,88926b6f711eb0a9bc3ca4318af052b33fc3778a,185d6b275620b8cb3cb364404f49cb662dc046b0,https://github.com/cloudfoundry/uaa/commit/88926b6f711eb0a9bc3ca4318af052b33fc3778a
javaparser/javaparser,https://github.com/javaparser/javaparser,8a29b5060dabd4d297679244e32fa692e441bf43,9374f39045f55e1bdb706bb5a923b4e172c340dd,https://github.com/javaparser/javaparser/commit/8a29b5060dabd4d297679244e32fa692e441bf43
jetty/jetty.project,https://github.com/jetty/jetty.project,7a3b440a62380411ac140bede2a61b47407b676f,64ed66db8b984f3157eaebca95822a3771a95682,https://github.com/jetty/jetty.project/commit/7a3b440a62380411ac140bede2a61b47407b676f
